MinXscore,MaxXscore,BinNumber
- infinity,-1.49363285,61
-1.49363285,-1.379264126,60
-1.379264126,-1.338366453,59
-1.338366453,-1.303536009,58
-1.303536009,-1.243946061,57
-1.243946061,-1.194123178,56
-1.194123178,-1.150089031,55
-1.150089031,-1.10969945,54
-1.10969945,-1.07186422,53
-1.07186422,-1.03663066,52
-1.03663066,-1.003931396,51
-1.003931396,-0.941714948,50
-0.941714948,-0.884752339,49
-0.884752339,-0.831181352,48
-0.831181352,-0.780243801,47
-0.780243801,-0.731661294,46
-0.731661294,-0.673083858,45
-0.673083858,-0.617411725,44
-0.617411725,-0.563544321,43
-0.563544321,-0.510968058,42
-0.510968058,-0.459160906,41
-0.459160906,-0.408741819,40
-0.408741819,-0.358703992,39
-0.358703992,-0.308895399,38
-0.308895399,-0.259276553,37
-0.259276553,-0.208926183,36
-0.208926183,-0.158764959,35
-0.158764959,-0.107812428,34
-0.107812428,-0.056359074,33
-0.056359074,-0.003400709,32
-0.003400709,0.050620079,31
0.050620079,0.10612949,30
0.10612949,0.16352376,29
0.16352376,0.222582222,28
0.222582222,0.283966488,27
0.283966488,0.349304587,26
0.349304587,0.417608136,25
0.417608136,0.49132132,24
0.49132132,0.571310153,23
0.571310153,0.658309456,22
0.658309456,0.733893207,21
0.733893207,0.816723117,20
0.816723117,0.908444521,19
0.908444521,1.011808509,18
1.011808509,1.1326537,17
1.1326537,1.199860444,16
1.199860444,1.27333569,15
1.27333569,1.357206835,14
1.357206835,1.452745501,13
1.452745501,1.567170872,12
1.567170872,1.705821322,11
1.705821322,1.884590568,10
1.884590568,1.998499294,9
1.998499294,2.136799085,8
2.136799085,2.32385161,7
2.32385161,2.585442818,6
2.585442818,2.731239101,5
2.731239101,2.922304914,4
2.922304914,3.178460649,3
3.178460649,3.590125553,2
3.590125553,infinity,1
